Unnamed: 0,ID,Title,Year,Age,IMDb,Rotten Tomatoes,Hulu,Prime Video,Disney+,Type,Age_na,IMDb_na
5017,5336,My Sister-in-Law,2015,,,10/100,0,1,0,1,1,1
534,537,Greatest Events of World War II in Colour,2019,16+,8.7/10,62/100,0,0,0,1,0,0
4688,5004,Full Body Flexibility Beginners Yoga Workouts - Krystin Scott,2017,,,13/100,0,1,0,1,1,1
3435,3569,Laughs,2015,,,10/100,1,0,0,1,1,1
548,551,Pine Gap,2018,16+,7.2/10,62/100,0,0,0,1,0,0
4802,5121,FUNnel Vision: Challenges,2018,,,10/100,0,1,0,1,1,1
1804,1812,Candy Online,2019,,5.3/10,34/100,0,0,0,1,1,0
4214,4510,Wheel Sharks,2013,,,37/100,0,1,0,1,1,1
2270,2328,WWE Raw,1993,7+,7.8/10,67/100,1,0,0,1,0,0
1275,1278,Sneakerheads,2020,,6.2/10,47/100,0,0,0,1,1,0
4320,4618,Teletubbies: Nursery Rhymes,2017,,5.2/10,34/100,0,1,0,1,1,0
1460,1466,My Sassy Girl,2017,,6.9/10,43/100,0,0,0,1,1,0
1509,1515,Sunny Bunnies,2015,all,6.8/10,42/100,0,0,0,1,0,0
1216,1219,Warrior,2018,,6.7/10,48/100,0,0,0,1,1,0
4215,4511,Legends of Power with Tony Robinson,2003,,,37/100,0,1,0,1,1,1
2081,2116,Chicago P.D.,2014,16+,8.1/10,76/100,1,0,0,1,0,0
15,16,Marvel's Daredevil,2015,18+,8.6/10,90/100,0,0,0,1,0,0
1005,1008,The Queen and the Conqueror,2020,16+,6.7/10,52/100,0,0,0,1,0,0
2690,2795,American Idol,2002,7+,4.1/10,54/100,1,0,0,1,0,0
3892,4162,Hunting ISIS,2018,,8.3/10,47/100,0,1,0,1,1,0
1712,1718,LEGO Elves,2017,,6.7/10,37/100,0,0,0,1,1,0
4958,5277,Second War Diary - The War Day by Day,2014,,,10/100,0,1,0,1,1,1
1568,1574,Black Hollywood: 'They've Gotta Have Us',2018,,7.6/10,41/100,0,0,0,1,1,0
2290,2349,9-1-1: Lone Star,2020,16+,6.8/10,67/100,1,0,0,1,0,0
2324,2388,Noragami,2014,16+,7.9/10,65/100,1,0,0,1,0,0
3948,4225,Kratts' Creatures,1996,all,8.2/10,45/100,0,1,0,1,0,0
1119,1122,Taj Mahal 1989,2020,,7.5/10,50/100,0,0,0,1,1,0
731,734,History of Swear Words,2021,18+,6.4/10,57/100,0,0,0,1,0,0
405,407,Van Helsing,2016,16+,6.2/10,66/100,0,0,0,1,0,0
3315,3448,Flip and Flash,2014,,,19/100,1,0,0,1,1,1
1008,1011,Crime Diaries: The Candidate,2019,18+,7.6/10,52/100,0,0,0,1,0,0
1789,1797,The Goop Lab,2020,18+,2.5/10,35/100,0,0,0,1,0,0
3051,3179,Gordon Ramsay's Home Cooking,2013,,8.4/10,42/100,1,0,0,1,1,0
444,446,Criminal: UK,2019,18+,7.6/10,65/100,0,0,0,1,0,0
3535,3716,Detectorists,2014,16+,8.6/10,69/100,0,1,0,1,0,0
1791,1799,Angel 'N' Devil,2014,,4.9/10,34/100,0,0,0,1,1,0
4184,4480,All Things Adrienne,2018,,,38/100,0,1,0,1,1,1
2369,2440,The Hardy Boys,2020,7+,7.0/10,63/100,1,0,0,1,0,0
806,809,Run On,2020,,7.6/10,56/100,0,0,0,1,1,0
4953,5272,Nordic Road Trip 2018,2018,,,10/100,0,1,0,1,1,1
4832,5151,Fin Chasers,2017,,,10/100,0,1,0,1,1,1
2372,2444,The Familiar of Zero,2006,16+,7.0/10,63/100,1,0,0,1,0,0
2696,2801,Find Me in Paris,2018,all,7.2/10,54/100,1,0,0,1,0,0
4574,4884,Lego Pirates of the Caribbean Playthrough,2017,,,16/100,0,1,0,1,1,1
3700,3932,She Was Pretty,2015,,7.7/10,55/100,0,1,0,1,1,0
2946,3071,Urara Meirocho,2017,16+,7.4/10,46/100,1,0,0,1,0,0
1290,1293,Bolívar: Una lucha admirable,2019,18+,7.5/10,47/100,0,0,0,1,0,0
949,952,Unabomber: In His Own Words,2020,,7.2/10,53/100,0,0,0,1,1,0
304,306,GHOUL,2018,18+,7.1/10,69/100,0,0,0,1,0,0
5029,5348,The GiggleBellies - Monster Truck Learning,2017,,,10/100,0,1,0,1,1,1
2885,3006,Saved by the Bell: The College Years,1993,7+,6.3/10,48/100,1,0,0,1,0,0
1946,1956,The Confrontation,2018,,,10/100,0,0,0,1,1,1
39,40,BoJack Horseman,2014,18+,8.7/10,86/100,0,0,0,1,0,0
2188,2237,Body of Proof,2011,16+,7.1/10,70/100,1,0,0,1,0,0
5186,5526,Elena of Avalor,2016,all,6.4/10,51/100,0,0,1,1,0,0
704,707,The Ripper,2020,,7.1/10,58/100,0,0,0,1,1,0
3826,4081,Inuyashiki Last Hero,2017,,6.6/10,50/100,0,1,0,1,1,0
1922,1932,Sudden,2013,,,16/100,0,0,0,1,1,1
4998,5317,The Big Flip,2009,,,10/100,0,1,0,1,1,1
2537,2633,False Flag,2015,,7.8/10,58/100,1,0,0,1,1,0
2768,2879,Unusual Suspects,2010,16+,7.6/10,52/100,1,0,0,1,0,0
1916,1926,Laws of Attraction,2012,,,17/100,0,0,0,1,1,1
381,383,Trinkets,2019,18+,7.1/10,67/100,0,0,0,1,0,0
4677,4993,Lego Set Builds Spongebob Squarepants - Artifex,2017,,,13/100,0,1,0,1,1,1
376,378,RESIDENT EVIL: Infinite Darkness,2021,18+,5.8/10,67/100,0,0,0,1,0,0
4019,4302,Animal Mechanicals,2008,all,6.3/10,43/100,0,1,0,1,0,0
914,917,Queer Eye: We're in Japan!,2019,16+,8.2/10,54/100,0,0,0,1,0,0
3007,3134,Charlie Rose,1991,all,7.5/10,44/100,1,0,0,1,0,0
1839,1847,Bottersnikes & Gumbles,2016,7+,5.2/10,32/100,0,0,0,1,0,0
1826,1834,My Dear Warrior,2019,,3.9/10,33/100,0,0,0,1,1,0
2260,2317,Marvel's M.O.D.O.K.,2021,18+,6.3/10,68/100,1,0,0,1,0,0
2804,2916,Man Up!,2011,7+,6.6/10,51/100,1,0,0,1,0,0
1189,1192,Stolen Away,2020,,7.1/10,48/100,0,0,0,1,1,0
4538,4842,True Nordic Crimes,2017,,,18/100,0,1,0,1,1,1
684,687,Girls from Ipanema,2019,16+,7.9/10,59/100,0,0,0,1,0,0
3638,3857,Appropriate Adult,2011,18+,7.5/10,59/100,0,1,0,1,0,0
398,400,The Naked Director,2019,18+,7.7/10,66/100,0,0,0,1,0,0
1586,1592,Fary: Hexagone,2020,,6.5/10,40/100,0,0,0,1,1,0
3411,3545,Puertas al Mas Alla,2012,,,13/100,1,0,0,1,1,1
3220,3352,Last Call with Carson Daly,2002,16+,2.9/10,33/100,1,0,0,1,0,0
3013,3140,Negima!,2005,7+,6.2/10,43/100,1,0,0,1,0,0
5094,5422,The Suite Life of Zack & Cody,2005,all,6.5/10,64/100,0,0,1,1,0,0
29,30,Grey's Anatomy,2005,16+,7.5/10,87/100,1,0,0,1,0,0
882,885,Freud,2020,18+,6.5/10,54/100,0,0,0,1,0,0
1642,1648,Robocar Poli,2011,,6.7/10,39/100,0,0,0,1,1,0
3703,3936,Home and Away,1988,7+,5.1/10,55/100,0,1,0,1,0,0
452,454,Inside Bill's Brain: Decoding Bill Gates,2019,16+,7.9/10,65/100,0,0,0,1,0,0
2343,2410,Station 19,2018,16+,6.7/10,64/100,1,0,0,1,0,0
3673,3902,The Reagans,2020,7+,6.5/10,57/100,0,1,0,1,0,0
42,43,The IT Crowd,2006,16+,8.5/10,86/100,0,0,0,1,0,0
613,616,Start-Up,2020,16+,8.1/10,60/100,0,0,0,1,0,0
2531,2627,Crime Scene Kitchen,2021,,7.2/10,58/100,1,0,0,1,1,0
2731,2836,Vanderpump Rules,2013,16+,5.4/10,53/100,1,0,0,1,0,0
3036,3164,High School USA!,2013,18+,6.4/10,42/100,1,0,0,1,0,0
4172,4467,Greatest Tank Battles,2010,7+,7.4/10,38/100,0,1,0,1,0,0
2828,2942,Outbreak Company,2013,16+,6.8/10,50/100,1,0,0,1,0,0
142,143,Marvel's The Defenders,2017,18+,7.3/10,78/100,0,0,0,1,0,0
3039,3167,The Mighty Ones,2020,7+,7.5/10,42/100,1,0,0,1,0,0
4105,4395,Geronimo Stilton,2009,all,6.8/10,40/100,0,1,0,1,0,0
1514,1520,Simon,2016,all,7.3/10,42/100,0,0,0,1,0,0
4176,4471,Sworn to Secrecy: Secrets of War,1998,16+,7.5/10,38/100,0,1,0,1,0,0
4679,4995,I Declare War: The Series,2016,,,13/100,0,1,0,1,1,1
3328,3461,Lost in the Supermarket,2016,,,18/100,1,0,0,1,1,1
3469,3620,Upload,2020,18+,8.0/10,82/100,0,1,0,1,0,0
5233,5577,Earth Moods,2021,,8.2/10,47/100,0,0,1,1,1,0
2201,2251,Mushi-Shi,2005,16+,8.5/10,70/100,1,1,0,1,0,0
1066,1069,Room 2806: The Accusation,2020,,7.0/10,51/100,0,0,0,1,1,0
1294,1297,The Chosen One,2019,18+,5.8/10,47/100,0,0,0,1,0,0
535,538,Offspring,2010,16+,8.3/10,62/100,0,0,0,1,0,0
4598,4909,Amber the Ambulance,2017,,,14/100,0,1,0,1,1,1
4510,4813,Chasin the Sun,2017,,,20/100,0,1,0,1,1,1
3450,3588,The Expanse,2015,16+,8.5/10,90/100,0,1,0,1,0,0
5276,5622,Shop Class,2020,all,7.2/10,42/100,0,0,1,1,0,0
4280,4576,Dance Moms: Miami,2012,16+,3.8/10,35/100,0,1,0,1,0,0
4759,5077,Microsoft Excel 2016 - Training,2016,,,13/100,0,1,0,1,1,1
2533,2629,Gordon Ramsay's 24 Hours to Hell and Back,2018,16+,7.3/10,58/100,1,0,0,1,0,0
311,313,Aggretsuko,2018,16+,8.1/10,69/100,0,0,0,1,0,0
1760,1768,Country Ever After,2020,,6.5/10,36/100,0,0,0,1,1,0
3760,4003,Everyday Driver,2017,,9.3/10,52/100,0,1,0,1,1,0
4599,4910,Kings in Grass Castles,1998,,,14/100,0,1,0,1,1,1
214,215,Marvel's Iron Fist,2017,18+,6.5/10,73/100,0,0,0,1,0,0
1816,1824,Sakho & Mangane,2019,,6.4/10,34/100,0,0,0,1,1,0
2472,2561,Robin of Sherwood,1984,7+,8.5/10,60/100,1,1,0,1,0,0
891,894,#blackAF,2020,18+,6.8/10,54/100,0,0,0,1,0,0
4418,4719,Vinnie Jones' Toughest Cops,2009,,7.1/10,30/100,0,1,0,1,1,0
3213,3345,Egg Birds,2014,,,33/100,1,0,0,1,1,1
873,876,Tiny House Nation,2014,7+,7.1/10,54/100,0,0,0,1,0,0
3709,3942,"Nu, pogodi!",1969,,8.6/10,55/100,0,1,0,1,1,0
3489,3649,Poldark,2015,16+,8.3/10,78/100,0,1,0,1,0,0
3095,3225,The Paynes,2018,,4.9/10,40/100,1,0,0,1,1,0
4647,4963,Hitler's Lost Battles,2017,,,14/100,0,1,0,1,1,1
2262,2319,Ghost Adventures,2008,13+,7.5/10,67/100,1,0,0,1,0,0
725,728,Godzilla Singular Point,2021,16+,6.6/10,58/100,0,0,0,1,0,0
4612,4923,Changelings: cambions,2014,,,14/100,0,1,0,1,1,1
3263,3395,Bobby Flay's Barbecue Addiction,2011,7+,6.5/10,28/100,1,0,0,1,0,0
5139,5472,Little Einsteins,2005,all,6.3/10,57/100,0,0,1,1,0,0
3065,3193,Aquarion,2005,18+,6.5/10,41/100,1,0,0,1,0,0
4986,5305,Crazy TV Pranks. Funny Surprises,2013,,,10/100,0,1,0,1,1,1
2793,2905,Is This a Zombie?,2011,18+,7.1/10,51/100,1,0,0,1,0,0
1433,1439,LEGO City Adventures,2019,7+,7.0/10,44/100,0,1,0,1,0,0
2983,3109,Broken Angel,2013,16+,7.0/10,45/100,1,0,0,1,0,0
4002,4285,Oasis,2017,18+,8.3/10,44/100,0,1,0,1,0,0
1766,1774,Diamond Lover,2015,,6.3/10,35/100,0,0,0,1,1,0
2580,2678,The Bisexual,2018,,6.3/10,57/100,1,0,0,1,1,0
2337,2404,Mushoku Tensei: Jobless Reincarnation,2021,16+,8.3/10,64/100,1,0,0,1,0,0
584,587,Somebody Feed Phil,2018,16+,8.2/10,61/100,0,0,0,1,0,0
1170,1173,SWORD GAI: The Animation,2018,18+,5.9/10,49/100,0,0,0,1,0,0
4296,4594,The Crimean War,2018,,7.7/10,35/100,0,1,0,1,1,0
780,783,History 101,2020,7+,6.8/10,56/100,0,0,0,1,0,0
3001,3128,The Chew,2011,7+,5.3/10,44/100,1,0,0,1,0,0
3322,3455,Billy Bam Bam,2011,,,18/100,1,0,0,1,1,1
5337,5685,Rocky Mountain Animal Rescue,2018,,7.9/10,30/100,0,0,1,1,1,0
2928,3051,Space Brothers,2012,16+,8.1/10,46/100,1,0,0,1,0,0
2542,2638,Dice,2016,18+,7.5/10,58/100,1,0,0,1,0,0
1262,1265,Quarantine Tales,2020,,,47/100,0,0,0,1,1,1
3724,3961,Super Wings!,2014,all,6.2/10,54/100,0,1,0,1,0,0
2219,2270,Man Seeking Woman,2015,18+,7.8/10,69/100,1,0,0,1,0,0
2140,2181,The Middle,2009,7+,7.6/10,73/100,1,0,0,1,0,0
4129,4422,Barter Kings,2012,7+,5.1/10,39/100,0,1,0,1,0,0
2575,2673,Outlaw Star,1998,16+,7.9/10,57/100,1,0,0,1,0,0
4602,4913,Inside Things,2017,,,14/100,0,1,0,1,1,1
154,155,Feel Good,2020,18+,7.5/10,77/100,0,0,0,1,0,0
1234,1237,Magical Andes,2019,,7.8/10,48/100,0,0,0,1,1,0
683,686,Sam & Cat,2013,7+,5.7/10,59/100,0,0,0,1,0,0
138,139,Call the Midwife,2012,16+,8.4/10,78/100,0,0,0,1,0,0
4488,4790,Best of BabyFirst Art Music Language And More,2015,,,24/100,0,1,0,1,1,1
3640,3859,Picnic at Hanging Rock,2018,16+,6.2/10,59/100,0,1,0,1,0,0
854,857,(The Hook Up Plan),2018,16+,7.2/10,55/100,0,0,0,1,0,0
4757,5075,Review: Pullip Doll Reviews,2017,,,13/100,0,1,0,1,1,1
776,779,BUNK'D,2015,all,5.4/10,56/100,0,0,0,1,0,0
737,740,Midnight Diner: Tokyo Stories,2016,16+,8.4/10,57/100,0,0,0,1,0,0
4152,4447,Cool McCool,1966,7+,7.2/10,38/100,0,1,0,1,0,0
521,524,College Romance,2018,18+,8.8/10,63/100,0,0,0,1,0,0
864,867,Al Hayba,2017,7+,7.4/10,55/100,0,0,0,1,0,0
1887,1895,Jumping Girl,2015,,5.1/10,28/100,0,0,0,1,1,0
2118,2155,CSI: Crime Scene Investigation,2000,16+,7.6/10,74/100,1,0,0,1,0,0
3498,3660,Extras,2005,18+,8.3/10,77/100,0,1,0,1,0,0
3054,3182,Tree Fu Tom,2012,all,5.6/10,42/100,1,0,0,1,0,0
4912,5231,Genius of Nature,2012,,,10/100,0,1,0,1,1,1
3210,3342,Big Bugs Band,2011,,7.5/10,34/100,1,0,0,1,1,0
3311,3444,Drag Me,2020,,,19/100,1,0,0,1,1,1
3394,3527,The Paley Center,2000,,,13/100,1,0,0,1,1,1
496,499,Masum,2017,16+,8.4/10,63/100,0,0,0,1,0,0
5087,5414,Marvel Studios: Legends,2021,16+,6.5/10,66/100,0,0,1,1,0,0
4404,4705,DoongDoong,2020,,6.8/10,31/100,0,1,0,1,1,0
4230,4526,Austin Stevens - Adventures,2009,,8.1/10,37/100,0,1,0,1,1,0
1708,1714,Power Players,2019,7+,6.0/10,37/100,0,0,0,1,0,0
1121,1124,Stay Here,2018,7+,7.5/10,50/100,0,0,0,1,0,0
2406,2483,The Three Stooges,1934,all,8.6/10,62/100,1,0,0,1,0,0
3296,3429,"Tengo Talento, Mucho Talento",2012,,,22/100,1,0,0,1,1,1
4640,4955,The Complete History of the Second World War,2017,,,14/100,0,1,0,1,1,1
1406,1411,Best Leftovers Ever!,2020,all,5.7/10,44/100,0,0,0,1,0,0
1989,2008,Atlanta,2016,18+,8.6/10,84/100,1,0,0,1,0,0
4551,4857,Tom The Tow Truck's Paint Shop,2016,,,17/100,0,1,0,1,1,1
4102,4392,Gotthard,2016,,6.5/10,40/100,0,1,0,1,1,0
2672,2776,Iron Chef America,2005,all,7.1/10,54/100,1,0,0,1,0,0
148,149,Marco Polo,2014,18+,8.0/10,77/100,0,1,0,1,0,0
5275,5621,Henry Hugglemonster,2013,all,5.3/10,42/100,0,0,1,1,0,0
3487,3646,The Affair,2014,18+,7.9/10,78/100,0,1,0,1,0,0
3828,4083,El Presidente,2020,16+,7.2/10,49/100,0,1,0,1,0,0
1379,1383,Mia and Me,2012,all,6.6/10,45/100,0,0,0,1,0,0
1091,1094,Dating Around,2019,16+,6.3/10,50/100,0,0,0,1,0,0
979,982,The Disappearance of Madeleine McCann,2019,16+,6.6/10,52/100,0,0,0,1,0,0
1850,1858,Luna Petunia,2016,all,6.3/10,31/100,0,0,0,1,0,0
1606,1612,Terrorism Close Calls,2018,,5.2/10,40/100,0,0,0,1,1,0
4644,4960,"Monsters, Madness and Mayhem",2003,,,14/100,0,1,0,1,1,1
4561,4867,Killer IQ: Lion vs. Hyena,2015,,,17/100,0,1,0,1,1,1
1363,1367,Numberblocks,2017,all,8.1/10,45/100,0,0,0,1,0,0
660,663,Snabba Cash,2021,,7.6/10,59/100,0,0,0,1,1,0
2716,2821,Hikaru no Go,2001,all,8.3/10,53/100,1,0,0,1,0,0
1042,1045,Paquita Salas,2016,,8.0/10,51/100,0,0,0,1,1,0
2670,2773,Bakuman。,2010,16+,8.0/10,55/100,1,0,0,1,0,0
4000,4283,Hero: 108,2010,all,5.7/10,44/100,0,1,0,1,0,0
5158,5493,Inside Pixar,2020,all,7.3/10,54/100,0,0,1,1,0,0
690,693,The Family,2019,16+,6.4/10,59/100,0,0,0,1,0,0
4721,5037,My Dream Derelict Home,2014,,,13/100,0,1,0,1,1,1
2259,2316,Claws,2017,18+,7.4/10,68/100,1,0,0,1,0,0
3587,3788,American Experience,1988,7+,8.6/10,64/100,0,1,0,1,0,0
866,869,Selling Sunset,2019,18+,6.3/10,55/100,0,0,0,1,0,0
1974,1988,Prison Break,2005,16+,8.3/10,87/100,1,1,0,1,0,0
1767,1775,Kid-E-Cats,2017,all,7.4/10,35/100,0,0,0,1,0,0
4435,4736,Hilarious Helmet History,2017,,6.6/10,29/100,0,1,0,1,1,0
2834,2949,Our Cartoon President,2018,16+,5.1/10,50/100,1,0,0,1,0,0
2396,2472,Clannad After Story,2009,7+,8.6/10,62/100,1,0,0,1,0,0
4728,5044,Cosmo Queens,2017,,,13/100,0,1,0,1,1,1
4860,5179,Citizens of the World,2010,,,10/100,0,1,0,1,1,1
1644,1650,Justin Time,2011,all,6.7/10,39/100,0,0,0,1,0,0
379,381,The Baker and the Beauty,2020,16+,7.4/10,67/100,0,1,0,1,0,0
241,242,Ratched,2020,18+,7.3/10,72/100,0,0,0,1,0,0
4231,4527,Bulge Bracket,2020,,5.2/10,37/100,0,1,0,1,1,0
1336,1340,Peasants Rebellion,2018,,8.5/10,46/100,0,0,0,1,1,0
4433,4734,About Him: Freshman Year,2017,,,29/100,0,1,0,1,1,1
4061,4347,Bad Guy,2010,16+,7.7/10,42/100,0,1,0,1,0,0
3846,4107,Empresses In The Palace,2011,7+,8.4/10,49/100,0,1,0,1,0,0
5314,5662,Wild Sri Lanka,2015,7+,8.6/10,36/100,0,0,1,1,0,0
962,965,The Guest,2018,,8.2/10,53/100,0,0,0,1,1,0
1563,1569,The Casketeers,2018,16+,7.5/10,41/100,0,0,0,1,0,0
143,144,HAPPY!,2017,18+,8.2/10,77/100,0,0,0,1,0,0
2329,2395,Prison School,2015,18+,7.6/10,65/100,1,0,0,1,0,0
5115,5444,Turner & Hooch,2021,7+,6.0/10,60/100,0,0,1,1,0,0
247,248,Marcella,2016,18+,7.4/10,72/100,0,0,0,1,0,0
2250,2305,Ally McBeal,1997,16+,6.8/10,68/100,1,0,0,1,0,0
4536,4840,Dirty Dancing,2017,,,18/100,0,1,0,1,1,1
2239,2293,Tyrant,2014,18+,7.8/10,68/100,1,0,0,1,0,0
98,99,Riverdale,2017,16+,6.8/10,81/100,1,0,0,1,0,0
852,855,"Bring It On, Ghost",2016,16+,7.6/10,55/100,0,0,0,1,0,0
4377,4677,Shelldon,2009,all,5.8/10,32/100,0,1,0,1,0,0
2484,2576,Teen Titans Go!,2013,7+,5.4/10,59/100,1,0,0,1,0,0
5025,5344,Looi,2014,,,10/100,0,1,0,1,1,1
502,505,Ethos,2020,,8.6/10,63/100,0,0,0,1,1,0
1736,1744,All About Love,2010,,6.3/10,36/100,0,0,0,1,1,0
3628,3842,The Feed,2019,16+,6.3/10,60/100,0,1,0,1,0,0
3002,3129,The Show Must Go On: The Queen + Adam Lambert Story,2019,,7.8/10,44/100,1,0,0,1,1,0
3479,3635,Alias,2001,16+,7.6/10,80/100,0,1,0,1,0,0
1912,1921,True: Wonderful Wishes,2018,,,18/100,0,0,0,1,1,1
1525,1531,Love O2O,2016,16+,8.0/10,42/100,0,0,0,1,0,0
1632,1638,La Línea: Shadow of Narco,2020,,6.4/10,39/100,0,0,0,1,1,0
5366,5716,Wild Russia,2018,,,10/100,0,0,1,1,1,1
4743,5060,The Crusaders,2005,,,13/100,0,1,0,1,1,1
113,114,Into the Badlands,2015,16+,8.0/10,80/100,0,0,0,1,0,0
992,995,Crazy Delicious,2020,7+,6.7/10,52/100,0,0,0,1,0,0
3410,3544,The Bravest Knight Who Ever Lived,2014,,,13/100,1,0,0,1,1,1
3432,3566,Gen H,2012,,,10/100,1,0,0,1,1,1
2969,3094,1969,2019,,7.0/10,45/100,1,0,0,1,1,0
5320,5668,Chip 'n Dale's Nutty Tales,2017,,7.0/10,35/100,0,0,1,1,1,0
629,632,The Windsors,2016,18+,7.1/10,60/100,0,0,0,1,0,0
4274,4570,"Rich Bride, Poor Bride",2006,all,6.2/10,36/100,0,1,0,1,0,0
1421,1427,Fartsa,2015,,6.7/10,44/100,0,0,0,1,1,0
1545,1551,Pet Stars,2021,,5.8/10,41/100,0,0,0,1,1,0
